Show Id,Title,Description,Director,Genres,Cast,Production Country,Release Date,Rating,Duration(min),Imdb Score,Content Type,Date Added,Season Count
ea94d1e2-dfb5-4fb0-b941-ca4b1ade98c1,10 Days in Sun City,"After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",Adze Ugah,"Comedies, International Movies, Romantic Movies","Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.","South Africa, Nigeria",2017,TV-14,87,5.1,Movie,"October 18, 2019",
87fae73b-d8ef-4ea5-9085-a44560e0ce39,4th Republic,"After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory.",Ishaya Bako,"Dramas, International Movies, Thrillers","Kate Henshaw-Nuttal, Enyinna Nwigwe, Linda Ejiofor, Yakubu Mohammed, Bimbo Manuel, Sani Mu’azu, Emil Hirai-Garuba, Rekiya Ibrahim Atta",Nigeria,2019,TV-MA,120,,Movie,"June 13, 2020",
543835b9-edf1-45f1-95be-5f8f35069c79,93 Days,Heroic health workers fight to contain an Ebola outbreak when a patient arrives in Lagos with symptoms of the deadly virus. Based on a true story.,Steve Gukas,"Dramas, International Movies, Thrillers","Bimbo Akintola, Somkele Iyamah, Danny Glover, Gideon Okeke, Seun Kentebe, Keppy Ekpenyong, Zara Udofia Ejoh, Bimbo Manuel, Patrick Diabuah, Tina Mba, Alastair Mackenzie, Tim Reid",Nigeria,2016,TV-PG,121,5.8,Movie,"March 5, 2020",
79e9f73c-ec62-4fc7-93c5-931b1a13f1d5,A Trip to Jamaica,A newly engaged couple's romantic vacation in Jamaica turns into a mischievous adventure that tests their union in wild and unexpected ways.,Robert O. Peters,"Comedies, International Movies","Ayo Makun, Funke Akindele, Nse Ikpe-Etim, Dan Davies, Paul Campbell, Chris Attoh, Rebecca Silvera, Eric Roberts, Joe Diaz, Alex Moore",Nigeria,2016,TV-MA,99,5,Movie,"December 13, 2019",
55c349c0-702f-406f-b164-ba904d55cd27,Anchor Baby,A Nigerian couple living in the U.S. face agonizing fallout when they defy deportation orders with the hopes of giving their unborn child citizenship.,Lonzo Nzekwe,"Dramas, International Movies","Omoni Oboli, Sam Sarpong, Terri Oliver, Colin Paradine, Mark Cassius","Canada, Nigeria",2010,TV-MA,97,6.5,Movie,"May 20, 2020",
b7921409-ef49-4d0f-83ac-ce57ad21903c,Banana Island Ghost,"Searching for a soul mate, a ghost negotiates with God for three more days on Earth to find love, then meets a woman in need of help herself.",BB Sasore,"Comedies, International Movies","Chigul, Patrick Diabuah, Adetomiwa Edun, Uche Jumbo, Saidi Balogun, Ali Nuhu, Bimbo Manuel, Akah Nnani, Damilola Adegbite, Dorcas Shola Fapson",Nigeria,2017,TV-14,108,6.3,Movie,"December 6, 2019",
7f3c0b7e-f12a-47b3-b43a-4059902db781,Before 30,"Four female friends in the fast-paced city of Lagos, Nigeria endure public and private pressures to walk down the aisle by the age of 30.",BB Sasore,"International TV Shows, Romantic TV Shows, TV Comedies","Damilola Adegbite, O.C. Ukeje, Beverly Naya, Meg Otanwa, Anee Icha, Patrick Diabuah, Tunbosun Aiyedehin, Patrick Doyle",Nigeria,2015,TV-MA,1 Season,,TV Show,,1
b900edca-9fff-425e-9188-4c999d198e34,Being Mrs Elliot,"When a scorned wife from the city shares a cab with a troubled villager, a fiery accident forces them to live out each other's lives.",Omoni Oboli,"Dramas, International Movies, Romantic Movies","Omoni Oboli, Majid Michel, Ayo Makun, Uru Eke, Ime Bishop Umoh, Lepacious Bose, Seun Akindele, Sylvia Oluchy, Chika Chukwu",Nigeria,2014,TV-14,113,,Movie,"December 20, 2019",
a2ec0dae-40d6-41ea-8219-34c4fd1995e6,Black Rose,"Struggling in poverty with her single mother and siblings, a principled young woman meets the man of her dreams but soon finds he's keeping secrets.",Okey Oku,"Dramas, International Movies","Blossom Chukwujekwu, Ebele Okaro, Lilian Echelon, Betty Bellor, Swanky JKA",Nigeria,2018,TV-14,121,8.1,Movie,"January 26, 2021",
9b506894-c8ae-4fed-bb28-8cb23dc4388a,Castle and Castle,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",,"International TV Shows, TV Dramas","Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",Nigeria,2018,TV-MA,1 Season,8.7,TV Show,,1
